,key,booktitle,crossref,title,year
1287,issac/BarkatouBP08,ISSAC,issac/2008,Regular systems of linear functional equations and applications.,2008
1288,issac/Shaska03,ISSAC,issac/2003,Determining the automorphism group of a hyperelliptic curve.,2003
1289,issac/AbramovZ96,ISSAC,issac/1996,"D'Alembertian Solutions of Inhomogeneous Linear Equations (differential, difference, and some other).",1996
1290,issac/HyunLS17,ISSAC,issac/2017,Algorithms for Structured Linear Systems Solving and Their Implementation.,2017
1291,issac/CasasCH07,PASCO,issac/2007pasco,Towards a high-level implementation of flexible parallelism primitives for symbolic languages.,2007
1292,issac/KulkarniRNS18,ISSAC,issac/2018,Real Space Sextics and their Tritangents.,2018
1293,issac/KannoYAH09,ISSAC,issac/2009,Solution of algebraic riccati equations using the sum of roots.,2009
1294,issac/DiazK98,ISSAC,issac/1998,FOXBOX: A System for Manipulating Symbolic Objects in Black Box Representation.,1998
1295,issac/AdrovicV12,ISSAC,issac/2012,Computing Puiseux series for algebraic surfaces.,2012
1296,issac/YangZ05,ISSAC,issac/2005,An open problem on metric invariants of tetrahedra.,2005
1297,issac/KaltofenZ06,ISSAC,issac/2006,Hybrid symbolic-numeric computation.,2006
1298,issac/Harris94,ISSAC,issac/1994,Inheritance of Rewrite Rule Structures Applied to Symbolic Computation.,1994
1299,issac/Lehobey97,ISSAC,issac/1997,Resolvent Computations by Resultants Without Extraneous Powers.,1997
1300,issac/JeffreyR98,ISSAC,issac/1998,Recursive Integration of Piecewise-Continuous Functions.,1998
1301,issac/LyakhovGM17,ISSAC,issac/2017,Algorithmic Verification of Linearizability for Ordinary Differential Equations.,2017
1302,issac/PearceH81,SYMSACC,issac/1981,The optimization of user programs for an Algebraic Manipulation System.,1981
1303,issac/GathenH96,ISSAC,issac/1996,Factoring Modular Polynomials (extended abstract).,1996
1304,issac/Lauer76,SYMSACC,issac/1976,Algorithms for symmetrical polynomials.,1976
1305,issac/Hoeij96,ISSAC,issac/1996,Rational Solutions of the Mixed Differential Equation and Its Application to Factorization of Differential Operators.,1996
1306,issac/Lanam81,SYMSACC,issac/1981,An algebraic front-end for the production and use of numeric programs.,1981
1307,issac/BachmairD86,SYMSAC,issac/1986,Critical-pair criteria for the Knuth-Bendix completion procedure.,1986
1308,issac/ElkadiG07,ISSAC,issac/2007,Systems of three polynomials with two separated variables.,2007
1309,issac/Janovitz-FreireichRS06,ISSAC,issac/2006,Approximate radical of ideals with clusters of roots.,2006
1310,issac/MusserS88,ISSAC,issac/1988,Generic Programming.,1988
1311,issac/Worrell17,ISSAC,issac/2017,The Zero Problem for Exponential Polynomials.,2017
1312,issac/GreenHS00,ISSAC,issac/2000,Constructing endomorphism rings via duals.,2000
1313,issac/Pillwein13,ISSAC,issac/2013,Termination conditions for positivity proving procedures.,2013
1314,issac/Roy12,ISSAC,issac/2012,Complexity of deciding connectivity in real algebraic sets: recent results and future research directions.,2012
1315,issac/Stoutemyer14,ISSAC,issac/2014,Fuzzy simplification of non-numeric expressions containing some intervals and/or floating point numbers.,2014
1316,issac/DolehW90,ISSAC,issac/1990,SUI: A System Independent User Interface for an Integrated Scientific Computing Environment.,1990
1317,issac/Ruffo07,ISSAC,issac/2007,A straightening law for the Drinfel'd Lagrangian Grassmannian.,2007
1318,issac/Roach97,ISSAC,issac/1997,Meijer G Functions Representations.,1997
1319,issac/BradfordDEEGGHK17,ISSAC,issac/2017,A Case Study on the Parametric Occurrence of Multiple Steady States.,2017
1320,issac/ChenS05,ISSAC,issac/2005,A BLAS based C library for exact linear algebra on integer matrices.,2005
1321,issac/KaltofenK08,ISSAC,issac/2008,Expressing a fraction of two determinants as a determinant.,2008
1322,issac/SasakiM81,SYMSACC,issac/1981,Efficient Gaussian elimination method for symbolic determinants and linear systems (Extended Abstract).,1981
1323,issac/FaugereDV13,ISSAC,issac/2013,On the complexity of computing grÃ¶bner bases for quasi-homogeneous systems.,2013
1324,issac/Bundgen91,ISSAC,issac/1991,Completion of Integral Polynomials by AC-Term Completion.,1991
1325,issac/LiMP09,ISSAC,issac/2009,Computations modulo regular chains.,2009
1326,issac/Kousidis19,ISSAC,issac/2019,Krawtchouk Polynomials and Quadratic Semi-Regular Sequences.,2019
1327,issac/Strassen81,SYMSACC,issac/1981,The computational complexity of continued fractions.,1981
1328,issac/Hulpke18,ISSAC,issac/2018,Constructive Membership Tests in Some Infinite Matrix Groups.,2018
1329,issac/Tsarev05,ISSAC,issac/2005,Generalized laplace transformations and integration of hyperbolic systems of linear partial differential equations.,2005
1330,issac/AbdaliCS86,SYMSAC,issac/1986,An object-oriented approach to algebra system design.,1986
1331,issac/CabarcasD11,ISSAC,issac/2011,Linear algebra to compute syzygies and GrÃ¶bner bases.,2011
1332,issac/Hong92,ISSAC,issac/1992,Simple Solution Formula Construction in Cylindrical Algebraic Decomposition Based Quantifier Elimination.,1992
1333,issac/Brown13,ISSAC,issac/2013,Constructing a single open cell in a cylindrical algebraic decomposition.,2013
1334,issac/Butler86,SYMSAC,issac/1986,Divide-and-conquer in computational group theory.,1986
1335,issac/ChenCMM17,ISSAC,issac/2017,Big Prime Field FFT on the GPU.,2017
1336,issac/KaltofenLW90,ISSAC,issac/1990,Modular Rational Sparse Multivariate Polynomial Interpolation.,1990
1337,issac/Roy93,ISSAC,issac/1993,Aspect Graphs of Algebraic Surfaces.,1993
1338,issac/Sturm15,ISSAC,issac/2015,Subtropical Real Root Finding.,2015
1339,issac/PanZ10,ISSAC,issac/2010,Real and complex polynomial root-finding with eigen-solving and preprocessing.,2010
1340,issac/Griss76,SYMSACC,issac/1976,The definition and use of data structures in REDUCE.,1976
1341,issac/Grigoryev88,ISSAC,issac/1988,Complexity of Computing the Characters and the Genre of a System of Exterior Differential Equations.,1988
1342,issac/RomeroS12,ISSAC,issac/2012,"Programming before theorizing, a case study.",2012
1343,issac/BostanDS16,ISSAC,issac/2016,Efficient Algorithms for Mixed Creative Telscoping.,2016
1344,issac/Abbott89,ISSAC,issac/1989,Recovery of Algebraic Numbers from Their ,1989
1345,issac/MurrayR89,ISSAC,issac/1989,Employing Path Dissolution to Shorten Tableaux Proofs.,1989
1346,issac/Pinkert76,SYMSACC,issac/1976,Interval arithmetic applied to polynomial remainder sequences.,1976
1347,issac/BessonovOS13,ISSAC,issac/2013,Integrability conditions for parameterized linear difference equations.,2013
1348,issac/FurukawaSK86,SYMSAC,issac/1986,"The GrÃ¶bner basis of a module over KUX1, ..., Xne and polynomial solutions of a system of linear equations.",1986
1349,issac/HanrotM01,ISSAC,issac/2001,Solvability by radicals from an algorithmic point of view.,2001
1350,issac/Buse01,ISSAC,issac/2001,Residual resultant over the projective plane and the implicitization problem.,2001
1351,issac/EderPP17,ISSAC,issac/2017,On Signature-Based GrÃ¶bner Bases Over Euclidean Rings.,2017
1352,issac/LicciardiM94,ISSAC,issac/1994,Implicitization of Hypersurfaces and Curves by the Primbasissatz and Basis Conversion.,1994
1353,issac/BostanCD16,ISSAC,issac/2016,Fast Computation of the Nth Term of an Algebraic Series over a Finite Prime Field.,2016
1354,issac/VillardM99,ISSAC,issac/1999,ADrien: An Implementation of Automatic Differentiation in Maple.,1999
1355,issac/JohnsonKLRR06,ISSAC,issac/2006,High-performance implementations of the Descartes method.,2006
1356,issac/Hoeij94,ISSAC,issac/1994,Computing Parameterizations of Rational Algebraic Curves.,1994
1357,issac/Zima93,ISSAC,issac/1993,Numeric Code Optimization in Computer Algebra Systems and Recurrent Relations Technique.,1993
1358,issac/Eriksson04,ISSAC,issac/2004,Toric ideals of homogeneous phylogenetic models.,2004
1359,issac/McCallum99,ISSAC,issac/1999,On Projection in CAD-Based Quantifier Elimination with Equational Constraint.,1999
1360,issac/AchatzMW08,ISSAC,issac/2008,Deciding polynomial-exponential problems.,2008
1361,issac/DumasPS13,ISSAC,issac/2013,Simultaneous computation of the row and column rank profiles.,2013
1362,issac/Hoeven02,ISSAC,issac/2002,A new zero-test for formal power series.,2002
1363,issac/OHearnS89,ISSAC,issac/1989,Note on Theorem Proving Strategies for Resolution Counterparts of Non-Classical Logics.,1989
1364,issac/Anai14,ISSAC,issac/2014,Effective quantifier elimination for industrial applications.,2014
1365,issac/Shackell93,ISSAC,issac/1993,Nested Expansions and Hardy Fields.,1993
1366,issac/AnaiW00,ISSAC,issac/2000,Deciding linear-trigonometric problems.,2000
1367,issac/Moitra15,ISSAC,issac/2015,"Nonnegative Matrix Factorization: Algorithms, Complexity and Applications.",2015
1368,issac/Kalkbrener90,ISSAC,issac/1990,Solving Systems of Bivariate Algebraic Equations by Using Primitive Polynomial Remainder Sequences.,1990
1369,issac/SunW11,ISSAC,issac/2011,A generalized criterion for signature related GrÃ¶bner basis algorithms.,2011
1370,issac/MingshengL01,ISSAC,issac/2001,Remarks on GrÃ¶bner basis for ideals under composition.,2001
1371,issac/Pospelov11,ISSAC,issac/2011,Fast fourier transforms over poor fields.,2011
1372,issac/SasakiK81,SYMSACC,issac/1981,Parallelism in algebraic computation and parallel algorithms for symbolic linear systems.,1981
1373,issac/Schlegel91,ISSAC,issac/1991,Determination of the Root System of Semisimple Lie Algebras from the Dynkin Diagram.,1991
1374,issac/MurrayR90,ISSAC,issac/1990,Reexamining Intractability of Tableau Methods.,1990
1375,issac/Oki19,ISSAC,issac/2019,Improved Structural Methods for Nonlinear Differential-Algebraic Equations via Combinatorial Relaxation.,2019
1376,issac/MuldersS00,ISSAC,issac/2000,Rational solutions of singular linear systems.,2000
1377,issac/Epstein76,SYMSACC,issac/1976,Using basis computation to determine pseudo-multiplicative independence.,1976
1378,issac/EgnerPB97,ISSAC,issac/1997,Decomposing a Permutation into a Conjugated Tensor Product.,1997
1379,issac/Sharir18,ISSAC,issac/2018,Algebraic Techniques in Geometry: The 10th Anniversary.,2018
1380,issac/PoteauxR15,ISSAC,issac/2015,Improving Complexity Bounds for the Computation of Puiseux Series over Finite Fields.,2015
1381,issac/KawanoS13,ISSAC,issac/2013,Quantum fourier transform over symmetric groups.,2013
1382,issac/AlcazarHM16,ISSAC,issac/2016,Detecting Similarities of Rational Space Curves.,2016
1383,issac/ArnborgF86,SYMSAC,issac/1986,Algebraic decomposition of regular curves.,1986
1384,issac/KislenkovMZ99,ISSAC,issac/1999,How Fast Can We Compute Products?,1999
1385,issac/HubertR03,ISSAC,issac/2003,Computing power series solutions of a nonlinear PDE system.,2003
1386,issac/DavenportR86,SYMSAC,issac/1986,PowerMath: a system for the Macintosh.,1986
1387,issac/FeoDS14,ISSAC,issac/2014,Fast arithmetic for the algebraic closure of finite fields.,2014
1388,issac/Wavrik99,ISSAC,issac/1999,Commutativity Theorems: Examples in Search of Algorithms.,1999
1389,issac/BorstGH94,ISSAC,issac/1994,GENTRAN 90: A REDUCE Package for the Generation of Fortran 90 Code.,1994
1390,issac/EmirisMT16,ISSAC,issac/2016,On the Bit Complexity of Solving Bilinear Polynomial Systems.,2016
1391,issac/BrunickGHS99,ISSAC,issac/1999,Efficient Construction of Drinfel'd Doubles.,1999
1392,issac/Laubenbacher03,ISSAC,issac/2003,A computer algebra approach to biological systems.,2003
1393,issac/BiasseF12,ISSAC,issac/2012,A polynomial time algorithm for computing the HNF of a module over the integers of a number field.,2012
1394,issac/Jimenez-PastorP18,ISSAC,issac/2018,Algorithmic Arithmetics with DD-Finite Functions.,2018
1395,issac/Burgisser11,ISSAC,issac/2011,Probabilistic analysis of condition numbers.,2011
1396,issac/Porter89,ISSAC,issac/1989,Dense Representation of Affine Coordinate Rings of Curves with One Point at Infinity.,1989
1397,issac/AbramovB98,ISSAC,issac/1998,Rational Solutions of First Order Linear Difference Systems.,1998
1398,issac/LambertS17,PASCO@ISSAC,issac/2017pasco,Compiler auto-vectorization of matrix multiplication modulo small primes.,2017
1399,issac/LiangJM08,ISSAC,issac/2008,The complete root classification of a parametric polynomial on an interval.,2008
1400,issac/MonaganW00,ISSAC,issac/2000,On the design and implementation of Brown's algorithm over the integers and number fields.,2000
1401,issac/CarvajalCG05,ISSAC,issac/2005,Hybrid symbolic-numeric integration in multiple dimensions via tensor-product series.,2005
1402,issac/TourC88,ISSAC,issac/1988,A Formal Approach to some Usually Informal Techniques Used in Mathematical Reasoning.,1988
1403,issac/FaugereS12,ISSAC,issac/2012,Solving polynomial systems globally invariant under an action of the symmetric group and application to the equilibria of N vortices in the plane.,2012
1404,issac/BeckermannL09,ISSAC,issac/2009,Fraction-free computation of simultaneous padÃ© approximants.,2009
1405,issac/ChyzakKS09,ISSAC,issac/2009,A non-holonomic systems approach to special function identities.,2009
1406,issac/Zeng03,ISSAC,issac/2003,A method computing multiple roots of inexact polynomials.,2003
1407,issac/MehlhornS09,ISSAC,issac/2009,Isolating real roots of real polynomials.,2009
1408,issac/Hietarinta92,ISSAC,issac/1992,Solving the Constant Quantum Yang-Baxter Equation in 2 Dimensions with Massive Use of Factorizing GrÃ¶bner Basis Computations.,1992
1409,issac/KoppenhagenM96,ISSAC,issac/1996,An Optimal Algorithm for Constructing the Reduced GrÃ¶bner Basis of Binomial Ideals.,1996
1410,issac/CorlessJK97,ISSAC,issac/1997,A Sequence of Series for the Lambert W Function.,1997
1411,issac/Watanabe81,SYMSACC,issac/1981,A technique for solving ordinary differential equations using Riemann's P-functions.,1981
1412,issac/PoteauxR08,ISSAC,issac/2008,Good reduction of puiseux series and complexity of the Newton-Puiseux algorithm over finite fields.,2008
1413,issac/ArmandoB01,ISSAC,issac/2001,Maple's evaluation process as constraint contextual rewriting.,2001
1414,issac/LiSYL11,ISSAC,issac/2011,Approximate rational solutions torational ODEs defined on discrete differentiable curves.,2011
1415,issac/Caboara93,ISSAC,issac/1993,A Dynamic Algorithm for GrÃ¶bner Basis Computation.,1993
1416,issac/BroadberyGW95,ISSAC,issac/1995,On the Implementation of Dynamic Evaluation.,1995
1417,issac/Schonhage91,ISSAC,issac/1991,Fast Reduction and Composition of Binary Quadratic Forms.,1991
1418,issac/Sharma07,ISSAC,issac/2007,Complexity of real root isolation using continued fractions.,2007
1419,issac/Abramov06,ISSAC,issac/2006,On the summation of P-recursive sequences.,2006
1420,issac/LebretonS12,ISSAC,issac/2012,Algorithms for the universal decomposition algebra.,2012
1421,issac/ReinhartS96,ISSAC,issac/1996,Differentially Homogeneous Differential Polynomials.,1996
1422,issac/Bacher96,ISSAC,issac/1996,Automatic Generation of Optimization Code Based on Symbolic Non-Linear Domain Formulation.,1996
1423,issac/Fateman90,ISSAC,issac/1990,Advances and Trends in the Design and Construction of Algebraic Manipulation Systems.,1990
1424,issac/LinL93,ISSAC,issac/1993,Some Results on Theorem Proving in Geometry over Finite Fields.,1993
1425,issac/Levin18,ISSAC,issac/2018,Bivariate Dimension Polynomials of Non-Reflexive Prime Difference-Differential Ideals.: The Case of One Translation.,2018
1426,issac/JenksT81,SYMSACC,issac/1981,A language for computational algebra.,1981
1427,issac/GianniMT88,ISSAC,issac/1988,Decomposition of Algebras.,1988
1428,issac/LuMW17,ISSAC,issac/2017,A New Algorithm for General Factorizations of Multivariate Polynomial Matrices.,2017
1429,issac/FukasakuIS15,ISSAC,issac/2015,Real Quantifier Elimination by Computation of Comprehensive GrÃ¶bner Systems.,2015
1430,issac/Chaffy-Camus88,ISSAC,issac/1988,"An Application of Reduce to the Approximation of F(X, Y).",1988
1431,issac/GuoL11,ISSAC,issac/2011,An algorithm for computing set-theoretic generators of an algebraic variety.,2011
1432,issac/MicciancioW01,ISSAC,issac/2001,A linear space algorithm for computing the herite normal form.,2001
1433,issac/ArnoldK15,ISSAC,issac/2015,Error-Correcting Sparse Interpolation in the Chebyshev Basis.,2015
1434,issac/RecioG94,ISSAC,issac/1994,On the Symbolic Insimplification of the General 6R-Manipulator Kinematic Equations.,1994
1435,issac/Levandovskyy06,ISSAC,issac/2006,Intersection of ideals with non-commutative subalgebras.,2006
1436,issac/BarendregtC00,ISSAC,issac/2000,Representing and handling mathematical concepts by humans and machines.,2000
1437,issac/ZilicR99,ISSAC,issac/1999,On Feasible Multivariate Polynomial Interpolations over Arbitrary Fields.,1999
1438,issac/DavenportGT91,ISSAC,issac/1991,Scratchpad's View of Algebra II: A Categorical View of Factorization.,1991
1439,issac/Trager76,SYMSACC,issac/1976,Algebraic factoring and rational function integration.,1976
1440,issac/FatemanT03,ISSAC,issac/2003,Converting call-by-reference to call-by-value: Fortran and Lisp coexisting.,2003
1441,issac/RecioSV04,ISSAC,issac/2004,From hypercircles to units.,2004
1442,issac/BronsteinF99,ISSAC,issac/1999,"Solving Linear Ordinary Differential Equations over C(x, e",1999
1443,issac/GraseggerV17,ISSAC,issac/2017,An Algebraic-Geometric Method for Computing Zolotarev Polynomials.,2017
1444,issac/FaugereSS16,ISSAC,issac/2016,Computing Small Certificates of Inconsistency of Quadratic Fewnomial Systems.,2016
1445,issac/LakshmanCJ98,ISSAC,issac/1998,Software Components Using Symbolic Computation for Problem Solving Environments.,1998
1446,issac/CorlessJW14,ISSAC,issac/2014,The asymptotic analysis of some interpolated nonlinear recurrence relations.,2014
1447,issac/CoopermanFYT94,ISSAC,issac/1994,Constructing Permutation Representations for Large Matrix Groups.,1994
1448,issac/TraversoZ02,ISSAC,issac/2002,Numerical stability and stabilization of Groebner basis computation.,2002
1449,issac/MuslehS19,ISSAC,issac/2019,Computing the Characteristic Polynomial of a Finite Rank Two Drinfeld Module.,2019
1450,issac/DumasP18,ISSAC,issac/2018,Symmetric Indefinite Triangular Factorization Revealing the Rank Profile Matrix.,2018
1451,issac/AusielloMN88,ISSAC,issac/1988,Dynamic Maintenance of Paths and Path Expressions on Graphs.,1988
1452,issac/ContiGR10,ISSAC,issac/2010,Solving Bezout-like polynomial equations for the design of interpolatory subdivision schemes.,2010
1453,issac/InoueS07,PASCO,issac/2007pasco,On the parallel computation of comprehensive GrÃ¶bner systems.,2007
1454,issac/Laplagne06,ISSAC,issac/2006,An algorithm for the computation of the radical of an ideal.,2006
1455,issac/HauensteinHL14,ISSAC,issac/2014,An ,2014
1456,issac/ChtcherbaK00,ISSAC,issac/2000,Conditions for exact resultants using the Dixon formulation.,2000
1457,issac/RosenkranzS15,ISSAC,issac/2015,Green's Functions for Stieltjes Boundary Problems.,2015
1458,issac/Woestijne05,ISSAC,issac/2005,Deterministic equation solving over finite fields.,2005
1459,issac/Richardson93,ISSAC,issac/1993,A Zero Structure Theorem for Exponential Polynomials.,1993
1460,issac/Maza06,ISSAC,issac/2006,Triangular decompositions of polynomial systems: from theory to practice.,2006
1461,issac/Li17,ISSAC,issac/2017,Automated Geometric Reasoning with Geometric Algebra: Theory and Practice.,2017
1462,issac/GiorgiN18,ISSAC,issac/2018,Certification of Minimal Approximant Bases.,2018
1463,issac/MagronSW19,ISSAC,issac/2019,Exact Optimization via Sums of Nonnegative Circuits and Arithmetic-geometric-mean-exponentials.,2019
1464,issac/HoevenL12,ISSAC,issac/2012,On the complexity of multivariate blockwise polynomial multiplication.,2012
1465,issac/Stetter96,ISSAC,issac/1996,Analysis of Zero Clusters in Multivariate Polynomial Systems.,1996
1466,issac/LiuP19,ISSAC,issac/2019,Computing Hermite Normal Form Faster via Solving System of Linear Equations.,2019
1467,issac/Singer88,ISSAC,issac/1988,Liouvillian First Integrals of Differential Equations.,1988
1468,issac/Macutan99,ISSAC,issac/1999,Formal Solutions of Scalar Singularly-Perturbed Linear Differential Equations.,1999
1469,issac/BostanLS13,ISSAC,issac/2013,Creative telescoping for rational functions using the griffiths: dwork method.,2013
1470,issac/AmirkhanovZZ91,ISSAC,issac/1991,The Betatron Oscillations in the Vicinity of Nonlinear Resonance in Cyclic Accelerator Investigation.,1991
1471,issac/JingM17,SCÂ²@ISSAC,issac/2017sc,Computing the Integer Points of a Polyhedron.,2017
1472,issac/Aoyama17,ISSAC,issac/2017,An Algorithm for Computing Minimal Associated Primes of Binomial Ideals without Producing Redundant Components.,2017
1473,issac/ShiC10,ISSAC,issac/2010,Computing the singularities of rational space curves.,2010
1474,issac/LevandovskyyS03,ISSAC,issac/2003,Plural: a computer algebra system for noncommutative polynomial algebras.,2003
1475,issac/DunstanKLM98,ISSAC,issac/1998,Lightweight Formal Methods for Computer Algebra Systems.,1998
1476,issac/NoroT92,ISSAC,issac/1992,Risa/Asir - a Computer Algebra System.,1992
1477,issac/PauderisS12,ISSAC,issac/2012,Deterministic unimodularity certification.,2012
1478,issac/Gil92,ISSAC,issac/1992,Computation of the Jordan Canonical Form of a Square Matrix (using the Axiom programming language).,1992
1479,issac/Takayama90a,ISSAC,issac/1990,An Algorithm of Constructing the Integral of a Module - an Infinite Dimensional Analog of GrÃ¶bner Basis.,1990
1480,issac/CorlessGT97,ISSAC,issac/1997,A Reordered Schur Factorization Method for Zero-dimensional Polynomial Systems with Multiple Roots.,1997
1481,issac/Hoeij13,ISSAC,issac/2013,The complexity of factoring univariatepolynomials over the rationals: tutorial abstract.,2013
1482,issac/GerdtR10,ISSAC,issac/2010,Consistency of finite difference approximations for linear PDE systems and its algorithmic verification.,2010
1483,issac/ChenHLW16,ISSAC,issac/2016,Existence Problem of Telescopers: Beyond the Bivariate Case.,2016
1484,issac/FaugereM11,ISSAC,issac/2011,Fast algorithm for change of ordering of zero-dimensional GrÃ¶bner bases with sparse multiplication matrices.,2011
1485,issac/KornyakF91,ISSAC,issac/1991,A Program for Symmetry Analysis of Differential Equations.,1991
1486,issac/TragerY76,SYMSACC,issac/1976,Completing nth powers of polynomials.,1976
1487,issac/MolenkampGH91,ISSAC,issac/1991,An Improved Approach to Automatic Error Cumulation Control.,1991
1488,issac/MinhPH98,ISSAC,issac/1998,Computation of the Monodromy of Generalized Polylogarithms.,1998
1489,issac/GiustiLV88,ISSAC,issac/1988,"Algebraic Transformations of Polynomial Equations, Symmetric Polynomials and Elimination.",1988
1490,issac/MutrieBC92,ISSAC,issac/1992,An Approach for Floating-Point Error Analysis Using Computer Algebra.,1992
1491,issac/Weispfenning93,ISSAC,issac/1993,Differential Term-Orders.,1993
1492,issac/Yamasaki90,ISSAC,issac/1990,Dataflow for Logic Program as Substitution Manipulator.,1990
1493,issac/Stehle17,ISSAC,issac/2017,Lattice Reduction Algorithms.,2017
1494,issac/BronsteinS93,ISSAC,issac/1993,Full Partial Fraction Decomposition of Rational Functions.,1993
1495,issac/GiorgiGR19,ISSAC,issac/2019,Generic Reductions for In-place Polynomial Multiplication.,2019
1496,issac/Gatemann90,ISSAC,issac/1990,Symbolic Solution Polynomial Equation Systems with Symmetry.,1990
1497,issac/AnanthD11,ISSAC,issac/2011,Border basis detection is NP-complete.,2011
1498,issac/LebretonMS13,ISSAC,issac/2013,On the complexity of solving bivariate systems: the case of non-singular solutions.,2013
1499,issac/CantoneCF88,ISSAC,issac/1988,Decision Procedures for Elementary Sublanguages of Set Theory. XIV. Three Languages Involving Rank Related Constructs.,1988
1500,issac/EmirisKZ15,ISSAC,issac/2015,Minkowski Decomposition and Geometric Predicates in Sparse Implicitization.,2015
1501,issac/AbramovBP95,ISSAC,issac/1995,On Polynomial Solutions of Linear Operator Equations.,1995
1502,issac/BrainDG17,SCÂ²@ISSAC,issac/2017sc,"Benchmarking Solvers, SAT-style.",2017
1503,issac/HaqueHMM17,PASCO@ISSAC,issac/2017pasco,"Plain, and Somehow Sparse, Univariate Polynomial Division on Graphics Processing Units.",2017
1504,issac/SuzukiS02,ISSAC,issac/2002,An alternative approach to comprehensive GrÃ¶bner bases.,2002
1505,issac/KapurSW11,ISSAC,issac/2011,Computing comprehensive GrÃ¶bner systems and comprehensive GrÃ¶bner bases simultaneously.,2011
1506,issac/Emiris16,ISSAC,issac/2016,Compact Formulae in Sparse Elimination.,2016
1507,issac/Ida09,ISSAC,issac/2009,Symbolic and algebraic methods in computational origami: invited talk.,2009
1508,issac/IlyinKRT91,ISSAC,issac/1991,PC Implementation of Fast Dirac Matrix Trace Calculations.,1991
1509,issac/AruliahCGS07,SNC,issac/2007snc,Geometric applications of the Bezout matrix in the Lagrange basis.,2007
1510,issac/Golden86,SYMSAC,issac/1986,An operator algebra for Macsyma.,1986
1511,issac/FioravantiGS07,SNC,issac/2007snc,Real implicitization of curves and geometric extraneous components.,2007
1512,issac/HarrisonS06,ISSAC,issac/2006,Rational parametrisation for degree 6 Del Pezzo surfaces using lie algebras.,2006
1513,issac/ZhouL14,ISSAC,issac/2014,Unimodular completion of polynomial matrices.,2014
1514,issac/Giusti89,ISSAC,issac/1989,On the Castelnuovo Regularity for Curves.,1989
1515,issac/CrouchGL91,ISSAC,issac/1991,Computations Involving Differential Operators and Their Actions on Functions.,1991
1516,issac/Eberly16,ISSAC,issac/2016,Selecting Algorithms for Black Box Matrices: Checking For Matrix Properties That Can Simplify Computations.,2016
1517,issac/KhodadadM06,ISSAC,issac/2006,Fast rational function reconstruction.,2006
1518,issac/Hulpke98,ISSAC,issac/1998,Computing Normal Subgroups.,1998
1519,issac/ZengD04,ISSAC,issac/2004,The approximate GCD of inexact polynomials.,2004
1520,issac/BodnarS00,ISSAC,issac/2000,An improved algorithm for the resolution of singularities.,2000
1521,issac/Kauers08,ISSAC,issac/2008,Integration of algebraic functions: a simple heuristic for finding the logarithmic part.,2008
1522,issac/LakshmanS94,ISSAC,issac/1994,On Computing Sparse Shifts for Univariate Polynomials.,1994
1523,issac/Doye99,ISSAC,issac/1999,Automated Coercion for Axiom.,1999
1524,issac/KaltofenP14,ISSAC,issac/2014,Sparse polynomial interpolation codes and their decoding beyond half the minimum distance.,2014
1525,issac/Oaku12,ISSAC,issac/2012,An algorithm to compute the differential equations for the logarithm of a polynomial.,2012
1526,issac/HyunMSS19,ISSAC,issac/2019,Change of Basis for m-primary Ideals in One and Two Variables.,2019
1527,issac/WangTSC86,SYMSAC,issac/1986,Code generation for hybrid mixed mode formulation in finite element analysis.,1986
1528,issac/Basu97,ISSAC,issac/1997,Uniform Quantifier Elimination and Constraint Query Processing.,1997
1529,issac/Kalkbrener93,ISSAC,issac/1993,An Upper Bound on the Number of Monomials in the Sylvester Resultant.,1993
1530,issac/Stachniak90,ISSAC,issac/1990,Resolution Proof Systems with Weak Transformation Rules.,1990
1531,issac/DoraT81,SYMSACC,issac/1981,Formal solutions of differential equations in the neighborhood of singular points (Regular and Irregular).,1981
1532,issac/Fateman92,ISSAC,issac/1992,"Honest Plotting, Global Extrema, and Interval Arithmetic.",1992
1533,issac/MengJ14,ISSAC,issac/2014,High performance implementation of the TFT.,2014
1534,issac/BettaleFP12,ISSAC,issac/2012,Solving polynomial systems over finite fields: improved analysis of the hybrid approach.,2012
1535,issac/Strzebonski18,ISSAC,issac/2018,Comparison of CAD-based Methods for Computation of Rational Function Limits.,2018
1536,issac/FujimuraN97,ISSAC,issac/1997,Moduli Spaces and Symmetry Loci of Polynomial Maps.,1997
1537,issac/BenderFT19,ISSAC,issac/2019,GrÃ¶bner Basis over Semigroup Algebras: Algorithms and Applications for Sparse Polynomial Systems.,2019
1538,issac/Smedley90,ISSAC,issac/1990,Detecting Algebraic Dependencies Between Unnested Radicals (abstract).,1990
1539,issac/Sato98,ISSAC,issac/1998,A New Type of Canonical GrÃ¶bner Bases in Polynomial Rings over Von Neumann Regular Rings.,1998
1540,issac/Khanin01,ISSAC,issac/2001,Dimensional analysis in computer algebra.,2001
1541,issac/BrandS16,ISSAC,issac/2016,On the Complexity of Solving Zero-Dimensional Polynomial Systems via Projection.,2016
1542,issac/KoganM02,ISSAC,issac/2002,Computation of canonical forms for ternary cubics.,2002
1543,issac/ZhangL12,ISSAC,issac/2012,Factorization of differential operators with ordinary differential polynomial coefficients.,2012
1544,issac/Schneider16,ISSAC,issac/2016,Symbolic Summation in Difference Rings and Applications.,2016
1545,issac/SharmaW88,ISSAC,issac/1988,Symbolic Derivation and Automatic Generation of Parallel Routines for Finite Element Analysis.,1988
1546,issac/Yap09,ISSAC,issac/2009,Exact numerical computation in algebra and geometry.,2009
